i;j;j-coordinate;N_k;Xzz
1;2;(-2.5, -2.5, 0.5);511;0.0001949235299827323
1;2;(-2.5, 0.5, -2.5);511;0.0001949235299827323
1;2;(-2.5, 0.5, 0.5);618;0.00020273886178265028
1;2;(-1.5, -1.5, 1.5);617;8.461204669363128e-06
1;2;(-1.5, -0.5, 1.5);663;8.47029529157884e-06
1;2;(-1.5, 1.5, -1.5);617;8.461204669363128e-06
1;2;(-1.5, 1.5, -0.5);663;8.47029529157884e-06
1;2;(-0.5, -1.5, 1.5);663;8.47029529157884e-06
1;2;(-0.5, -0.5, 1.5);718;8.504586981408909e-06
1;2;(-0.5, 1.5, -1.5);663;8.47029529157884e-06
1;2;(-0.5, 1.5, -0.5);718;8.504586981408909e-06
1;2;(0.5, -2.5, -2.5);511;0.0001949235299827323
1;2;(0.5, -2.5, 0.5);618;0.00020273886178265028
1;2;(0.5, 0.5, -2.5);618;0.00020273886178265028
1;2;(0.5, 0.5, 0.5);794;0.00020328905746682736
1;2;(1.5, -1.5, -1.5);617;8.461204669363128e-06
1;2;(1.5, -1.5, -0.5);663;8.47029529157884e-06
1;2;(1.5, -0.5, -1.5);663;8.47029529157884e-06
1;2;(1.5, -0.5, -0.5);718;8.504586981408909e-06
1;2;(-3.5, -1.5, -1.5);451;8.005865661009604e-06
1;2;(-3.5, -1.5, -0.5);481;8.131973371249522e-06
1;2;(-3.5, -0.5, -1.5);481;8.131973371249522e-06
1;2;(-3.5, -0.5, -0.5);515;8.18379848415153e-06
1;2;(-1.5, -3.5, -1.5);451;8.005865661009604e-06
1;2;(-1.5, -3.5, -0.5);481;8.131973371249522e-06
1;2;(-1.5, -1.5, -3.5);451;8.005865661009604e-06
1;2;(-1.5, -0.5, -3.5);481;8.131973371249522e-06
1;2;(-0.5, -3.5, -1.5);481;8.131973371249522e-06
1;2;(-0.5, -3.5, -0.5);515;8.18379848415153e-06
1;2;(-0.5, -1.5, -3.5);481;8.131973371249522e-06
1;2;(-0.5, -0.5, -3.5);515;8.18379848415153e-06
1;1;(-2.0, -2.0, 0.0);618;4.6374283198546164e-05
1;1;(-2.0, 0.0, -2.0);618;4.6374283198546164e-05
1;1;(-2.0, 0.0, 2.0);568;4.65159445352234e-05
1;1;(-2.0, 2.0, 0.0);568;4.65159445352234e-05
1;1;(0.0, -2.0, -2.0);618;4.6374283198546164e-05
1;1;(0.0, -2.0, 2.0);568;4.65159445352234e-05
1;1;(0.0, 2.0, -2.0);568;4.65159445352234e-05
1;1;(0.0, 2.0, 2.0);521;4.8188352277344773e-05
1;1;(2.0, -2.0, 0.0);568;4.65159445352234e-05
1;1;(2.0, 0.0, -2.0);568;4.65159445352234e-05
1;1;(2.0, 0.0, 2.0);521;4.8188352277344773e-05
1;1;(2.0, 2.0, 0.0);521;4.8188352277344773e-05
1;2;(-2.5, -1.5, 1.5);531;1.590483678723037e-05
1;2;(-2.5, -0.5, 1.5);564;1.6078975120932864e-05
1;2;(-2.5, 1.5, -1.5);531;1.590483678723037e-05
1;2;(-2.5, 1.5, -0.5);564;1.6078975120932864e-05
1;2;(-1.5, -2.5, 1.5);531;1.590483678723037e-05
1;2;(-1.5, 0.5, 1.5);648;1.6213796689290364e-05
1;2;(-1.5, 1.5, -2.5);531;1.590483678723037e-05
1;2;(-1.5, 1.5, 0.5);648;1.6213796689290364e-05
1;2;(-0.5, -2.5, 1.5);564;1.6078975120932864e-05
1;2;(-0.5, 0.5, 1.5);699;1.6252982581841317e-05
1;2;(-0.5, 1.5, -2.5);564;1.6078975120932864e-05
