i;j;j-coordinate;N_k;Xzz
1;1;(-1.0, -2.0, -1.0);73;6.2542e-06
1;1;(-1.0, -2.0, 1.0);139;6.253975e-06
1;1;(-1.0, 1.0, -1.0);73;6.2542e-06
1;1;(-1.0, 1.0, 1.0);139;6.253975e-06
1;1;(1.0, -1.0, -1.0);73;5.581805e-06
1;1;(1.0, -1.0, 1.0);139;5.5815e-06
1;1;(1.0, 2.0, -1.0);73;5.581805e-06
1;1;(1.0, 2.0, 1.0);139;5.5815e-06
1;1;(2.0, 1.0, -1.0);73;6.2542e-06
1;1;(2.0, 1.0, 1.0);139;6.253975e-06
1;1;(0.0, -2.0, -1.0);73;1.4809865e-06
1;1;(0.0, -2.0, 1.0);136;1.4809867499999999e-06
1;1;(0.0, 2.0, -1.0);73;1.4809865e-06
1;1;(0.0, 2.0, 1.0);136;1.4809867499999999e-06
1;1;(-2.0, -2.0, -1.0);71;1.4809865e-06
1;1;(-2.0, -2.0, 1.0);134;1.4809867499999999e-06
1;1;(-2.0, 0.0, -1.0);71;1.4809865e-06
1;1;(-2.0, 0.0, 1.0);134;1.4809867499999999e-06
1;1;(2.0, 0.0, -1.0);71;1.4809865e-06
1;1;(2.0, 0.0, 1.0);134;1.4809867499999999e-06
1;1;(2.0, 2.0, -1.0);71;1.4809865e-06
1;1;(2.0, 2.0, 1.0);134;1.4809867499999999e-06
1;1;(-2.0, -5.0, 0.0);93;7.5132475e-05
1;1;(-2.0, 3.0, 0.0);93;7.5132475e-05
1;1;(2.0, -3.0, 0.0);93;7.480405e-05
1;1;(2.0, 5.0, 0.0);93;7.480405e-05
1;1;(-3.0, -5.0, 0.0);93;7.5132475e-05
1;1;(-3.0, 2.0, 0.0);93;7.5132475e-05
1;1;(3.0, -2.0, 0.0);93;7.480405e-05
1;1;(3.0, 5.0, 0.0);93;7.480405e-05
1;1;(-5.0, -3.0, 0.0);91;7.480405e-05
1;1;(-5.0, -2.0, 0.0);91;7.480405e-05
1;1;(5.0, 2.0, 0.0);91;7.5132475e-05
1;1;(5.0, 3.0, 0.0);91;7.5132475e-05
1;2;(0.0, -4.0, 0.5);105;-0.000125411
1;2;(0.0, -4.0, 1.5);44;-0.00012541375
1;2;(0.0, 4.0, 0.5);105;-0.000125411
1;2;(0.0, 4.0, 1.5);44;-0.00012541375
1;2;(-4.0, -4.0, 0.5);105;-0.000125411
1;2;(-4.0, -4.0, 1.5);44;-0.00012541375
1;2;(-4.0, 0.0, 0.5);105;-0.000125411
1;2;(-4.0, 0.0, 1.5);44;-0.00012541375
1;2;(4.0, 0.0, 0.5);105;-0.000125411
1;2;(4.0, 0.0, 1.5);44;-0.00012541375
1;2;(4.0, 4.0, 0.5);105;-0.000125411
1;2;(4.0, 4.0, 1.5);44;-0.00012541375
1;1;(-1.0, -5.0, 0.0);85;0.0004734035
1;1;(-1.0, 4.0, 0.0);85;0.0004734035
1;1;(1.0, -4.0, 0.0);85;0.00047290574999999996
1;1;(1.0, 5.0, 0.0);85;0.00047290574999999996
1;1;(-4.0, -5.0, 0.0);85;0.0004734035
1;1;(-4.0, 1.0, 0.0);85;0.0004734035
1;1;(4.0, -1.0, 0.0);85;0.00047290574999999996
1;1;(4.0, 5.0, 0.0);85;0.00047290574999999996
1;1;(-5.0, -4.0, 0.0);83;0.00047290574999999996
1;1;(-5.0, -1.0, 0.0);83;0.00047290574999999996
1;1;(5.0, 1.0, 0.0);83;0.0004734035
1;1;(5.0, 4.0, 0.0);83;0.0004734035
1;1;(-1.0, -3.0, -1.0);65;-5.820705e-06
1;1;(-1.0, -3.0, 1.0);121;-5.8205875e-06
1;1;(-1.0, 2.0, -1.0);65;-5.820705e-06
1;1;(-1.0, 2.0, 1.0);121;-5.8205875e-06
1;1;(1.0, -2.0, -1.0);65;-5.8162125e-06
1;1;(1.0, -2.0, 1.0);121;-5.816355e-06
1;1;(1.0, 3.0, -1.0);65;-5.8162125e-06
1;1;(1.0, 3.0, 1.0);121;-5.816355e-06
1;1;(-2.0, -3.0, -1.0);63;-5.820705e-06
1;1;(-2.0, -3.0, 1.0);119;-5.8205875e-06
1;1;(-2.0, 1.0, -1.0);63;-5.820705e-06
1;1;(-2.0, 1.0, 1.0);119;-5.8205875e-06
1;1;(2.0, -1.0, -1.0);63;-5.8162125e-06
1;1;(2.0, -1.0, 1.0);119;-5.816355e-06
1;1;(2.0, 3.0, -1.0);63;-5.8162125e-06
1;1;(2.0, 3.0, 1.0);119;-5.816355e-06
1;1;(-3.0, -2.0, -1.0);63;-5.8162125e-06
1;1;(-3.0, -2.0, 1.0);119;-5.816355e-06
1;1;(-3.0, -1.0, -1.0);63;-5.8162125e-06
1;1;(-3.0, -1.0, 1.0);119;-5.816355e-06
1;1;(3.0, 1.0, -1.0);63;-5.820705e-06
1;1;(3.0, 1.0, 1.0);119;-5.8205875e-06
1;1;(3.0, 2.0, -1.0);63;-5.820705e-06
1;1;(3.0, 2.0, 1.0);119;-5.8205875e-06
1;2;(-2.0, -5.0, 0.5);96;-5.18682e-05
1;2;(-2.0, -5.0, 1.5);38;-5.18713e-05
1;2;(-2.0, 3.0, 0.5);96;-5.18682e-05
1;2;(-2.0, 3.0, 1.5);38;-5.18713e-05
1;2;(2.0, -3.0, 0.5);96;-0.00010722475
1;2;(2.0, -3.0, 1.5);38;-0.00010723349999999999
1;2;(2.0, 5.0, 0.5);96;-0.00010722475
1;2;(2.0, 5.0, 1.5);38;-0.00010723349999999999
1;2;(-3.0, -5.0, 0.5);96;-5.18682e-05
1;2;(-3.0, -5.0, 1.5);38;-5.18713e-05
1;2;(-3.0, 2.0, 0.5);96;-5.18682e-05
1;2;(-3.0, 2.0, 1.5);38;-5.18713e-05
1;2;(3.0, -2.0, 0.5);96;-0.00010722475
1;2;(3.0, -2.0, 1.5);38;-0.00010723349999999999
1;2;(3.0, 5.0, 0.5);96;-0.00010722475
1;2;(3.0, 5.0, 1.5);38;-0.00010723349999999999
1;2;(-5.0, -3.0, 0.5);94;-0.00010722475
1;2;(-5.0, -3.0, 1.5);38;-0.00010723349999999999
1;2;(-5.0, -2.0, 0.5);94;-0.00010722475
1;2;(-5.0, -2.0, 1.5);38;-0.00010723349999999999
1;2;(5.0, 2.0, 0.5);94;-5.18682e-05
1;2;(5.0, 2.0, 1.5);38;-5.18713e-05
1;2;(5.0, 3.0, 0.5);94;-5.18682e-05
1;2;(5.0, 3.0, 1.5);38;-5.18713e-05
1;1;(-3.0, -3.0, -1.0);57;-2.1288475e-06
1;1;(-3.0, -3.0, 1.0);109;-2.128715e-06
1;1;(-3.0, 0.0, -1.0);57;-2.1288475e-06
1;1;(-3.0, 0.0, 1.0);109;-2.128715e-06
1;1;(0.0, -3.0, -1.0);59;-2.1288475e-06
1;1;(0.0, -3.0, 1.0);111;-2.128715e-06
1;1;(0.0, 3.0, -1.0);59;-2.1288475e-06
1;1;(0.0, 3.0, 1.0);111;-2.128715e-06
1;1;(3.0, 0.0, -1.0);57;-2.1288475e-06
1;1;(3.0, 0.0, 1.0);109;-2.128715e-06
1;1;(3.0, 3.0, -1.0);57;-2.1288475e-06
1;1;(3.0, 3.0, 1.0);109;-2.128715e-06
1;2;(-1.0, -5.0, 0.5);91;-0.00017851275
1;2;(-1.0, -5.0, 1.5);36;-0.00017851500000000002
1;2;(-1.0, 4.0, 0.5);91;-0.00017851275
1;2;(-1.0, 4.0, 1.5);36;-0.00017851500000000002
1;2;(1.0, -4.0, 0.5);91;-0.0001803235
1;2;(1.0, -4.0, 1.5);36;-0.00018033425000000002
1;2;(1.0, 5.0, 0.5);91;-0.0001803235
1;2;(1.0, 5.0, 1.5);36;-0.00018033425000000002
1;2;(-4.0, -5.0, 0.5);91;-0.00017851275
1;2;(-4.0, -5.0, 1.5);36;-0.00017851500000000002
1;2;(-4.0, 1.0, 0.5);91;-0.00017851275
1;2;(-4.0, 1.0, 1.5);36;-0.00017851500000000002
1;2;(4.0, -1.0, 0.5);91;-0.0001803235
1;2;(4.0, -1.0, 1.5);36;-0.00018033425000000002
1;2;(4.0, 5.0, 0.5);91;-0.0001803235
1;2;(4.0, 5.0, 1.5);36;-0.00018033425000000002
1;2;(-5.0, -4.0, 0.5);89;-0.0001803235
