j-coordinate,Xzz
"(-2.0, 1.0, 4.0)",2.7137753301880917e-05
"(-2.0, 2.0, -4.0)",-8.806051770365795e-05
"(-2.0, 2.0, -3.0)",2.462460636855184e-05
"(-2.0, 2.0, -2.0)",-7.127169915812558e-06
"(-2.0, 2.0, -1.0)",-9.112566730728547e-05
"(-2.0, 2.0, 0.0)",9.944296636209146e-05
"(-2.0, 2.0, 1.0)",-4.3650711616546726e-05
"(-2.0, 2.0, 2.0)",-2.54131757904433e-05
"(-2.0, 2.0, 3.0)",-9.029763947976202e-05
"(-2.0, 2.0, 4.0)",-9.444364130427744e-05
"(-2.0, 3.0, -3.0)",-8.331554366143435e-05
"(-2.0, 3.0, -2.0)",-4.669197204252333e-05
"(-2.0, 3.0, -1.0)",-7.4281028497006095e-06
"(-2.0, 3.0, 0.0)",-2.2606256282376092e-05
"(-2.0, 3.0, 1.0)",7.200664399673813e-05
"(-2.0, 3.0, 2.0)",-9.029763947976202e-05
"(-2.0, 3.0, 3.0)",5.054654416920508e-06
"(-2.0, 3.0, 4.0)",-9.008293671982052e-05
"(-2.0, 4.0, -2.0)",-8.569778660139321e-05
"(-2.0, 4.0, -1.0)",2.583423006196203e-05
"(-2.0, 4.0, 0.0)",-5.52677346411315e-05
"(-2.0, 4.0, 1.0)",2.7186077390149292e-05
"(-2.0, 4.0, 2.0)",-9.444364130427744e-05
"(-2.0, 4.0, 3.0)",-9.008293671982052e-05
"(-1.0, -5.0, -2.0)",2.9285993060179283e-05
"(-1.0, -5.0, -1.0)",7.855845165315347e-06
"(-1.0, -5.0, 0.0)",7.841240982895084e-06
"(-1.0, -5.0, 1.0)",2.927550557313477e-05
"(-1.0, -4.0, -4.0)",2.5636134750163203e-05
"(-1.0, -4.0, -3.0)",-1.0629193547474827e-05
"(-1.0, -4.0, -2.0)",2.3860741420478714e-05
"(-1.0, -4.0, -1.0)",3.3129021011533985e-06
"(-1.0, -4.0, 0.0)",2.6552575671405137e-05
"(-1.0, -4.0, 1.0)",2.7271377875704994e-05
"(-1.0, -4.0, 2.0)",3.578006332941057e-06
"(-1.0, -4.0, 3.0)",2.5482286413617555e-05
"(-1.0, -3.0, -4.0)",-1.0629193547474827e-05
"(-1.0, -3.0, -3.0)",5.8154827630969894e-05
"(-1.0, -3.0, -2.0)",2.286672935226039e-05
"(-1.0, -3.0, -1.0)",-0.00019324600021131537
"(-1.0, -3.0, 0.0)",-0.0001350688182503315
"(-1.0, -3.0, 1.0)",-0.00013838174573271657
"(-1.0, -3.0, 2.0)",-0.00020035423231350632
"(-1.0, -3.0, 3.0)",2.5420425626987394e-05
"(-1.0, -2.0, -5.0)",2.9285986706663622e-05
"(-1.0, -2.0, -4.0)",2.3863087025951453e-05
"(-1.0, -2.0, -3.0)",2.286672935226039e-05
"(-1.0, -2.0, -2.0)",-7.169177941179161e-06
"(-1.0, -2.0, -1.0)",-8.979093425744902e-05
"(-1.0, -2.0, 0.0)",9.758462950545423e-05
"(-1.0, -2.0, 1.0)",9.897750574181375e-05
"(-1.0, -2.0, 2.0)",-9.095970027702835e-05
"(-1.0, -2.0, 3.0)",-7.414907429409683e-06
"(-1.0, -2.0, 4.0)",2.5778186594260303e-05
"(-1.0, -1.0, -5.0)",7.855845063884163e-06
