i;j;j-coordinate;N_k;Xzz
3;3;(0.0, 0.0, 1.0);310;0.0003330812981048513
3;6;(-2.5, -0.5, 1.5);142;-6.51893309667415e-05
3;6;(-2.5, 2.5, 1.5);115;-5.578637144026846e-05
3;6;(-1.5, -1.5, 1.5);153;-8.214825388331831e-05
3;6;(-1.5, 3.5, 1.5);108;-7.979813391567506e-05
3;6;(1.5, -1.5, 1.5);151;-6.397223436892569e-05
3;6;(1.5, 3.5, 1.5);108;-0.00010501449371394272
3;6;(2.5, -0.5, 1.5);140;-7.499778903353313e-05
3;6;(2.5, 2.5, 1.5);115;-0.00010478690378306337
3;6;(-2.5, -0.5, 0.5);291;0.0001368600618255528
3;6;(-2.5, 2.5, 0.5);243;0.00010920857612652622
3;6;(-1.5, -1.5, 0.5);309;0.00012055154647536819
3;6;(-1.5, 3.5, 0.5);225;0.00012344110876246666
3;6;(1.5, -1.5, 0.5);309;0.00013166942726428738
3;6;(1.5, 3.5, 0.5);225;0.00011338029421728525
3;6;(2.5, -0.5, 0.5);289;0.0001652007718347537
3;6;(2.5, 2.5, 0.5);241;0.00010781336412476758
3;4;(-1.0, 0.0, -0.5);303;-3.362553665814012e-05
3;4;(-1.0, 0.0, 1.5);185;-2.282330554445114e-05
3;4;(-1.0, 1.0, -0.5);294;-3.625476376029932e-05
3;4;(-1.0, 1.0, 1.5);178;-3.0304322318594178e-05
3;4;(0.0, 0.0, -0.5);318;-3.66605662341028e-05
3;4;(0.0, 0.0, 1.5);187;-2.1401771538602633e-05
3;4;(0.0, 1.0, -0.5);313;-3.3891338053669474e-05
3;4;(0.0, 1.0, 1.5);188;-1.9728218447890275e-05
3;5;(-2.5, 0.5, 1.0);236;8.175283811571771e-05
3;5;(0.5, -2.5, 1.0);228;0.0008034781581152529
3;5;(0.5, 3.5, 1.0);199;0.0005386731190953134
3;5;(3.5, 0.5, 1.0);193;3.8630367620467685e-05
3;5;(-2.5, 0.5, 0.0);308;-0.0003133062011806042
3;5;(0.5, -2.5, 0.0);292;-0.00044727922618431235
3;5;(0.5, 3.5, 0.0);253;-0.0005897124205334738
3;5;(3.5, 0.5, 0.0);241;-0.00030611309410106814
3;3;(-1.0, 0.0, -1.0);184;7.290974104035328e-05
3;3;(-1.0, 0.0, 1.0);293;2.6329092369833697e-05
3;3;(0.0, -1.0, -1.0);181;0.0004020037157973534
3;3;(0.0, -1.0, 1.0);286;-0.0001335811930968014
3;3;(0.0, 1.0, -1.0);187;-0.00034941395959618655
3;3;(0.0, 1.0, 1.0);305;-0.00012276714685999004
3;3;(1.0, 0.0, -1.0);184;-9.419777126207637e-05
3;3;(1.0, 0.0, 1.0);294;2.800790309617574e-05
3;4;(-4.0, 0.0, 0.5);203;-0.0003994492706404542
3;4;(-4.0, 1.0, 0.5);198;-0.0003374502978534691
3;4;(-3.0, -2.0, 0.5);218;-0.004914727845291125
3;4;(-3.0, 3.0, 0.5);194;-0.006009001477437082
3;4;(-1.0, -3.0, 0.5);239;-0.0008947383737595207
3;4;(-1.0, 4.0, 0.5);207;-0.00039350079113262975
3;4;(0.0, -3.0, 0.5);251;-0.0006943708631877212
3;4;(0.0, 4.0, 0.5);217;-0.0004577443774295667
3;4;(2.0, -2.0, 0.5);263;-0.012031558282260987
3;4;(2.0, 3.0, 0.5);237;-0.005055487189138589
3;4;(3.0, 0.0, 0.5);263;-0.0008075809479764806
3;4;(3.0, 1.0, 0.5);256;-0.001164959954991031
3;5;(-2.5, -0.5, 1.0);234;0.00033229551765745485
3;5;(-2.5, 1.5, 1.0);223;0.00026665859910779746
3;5;(-0.5, -2.5, 1.0);228;-0.0005713409940064358
3;5;(-0.5, 3.5, 1.0);199;-0.00036032678366109116
3;5;(1.5, -2.5, 1.0);213;-0.0004064534393918966
3;5;(1.5, 3.5, 1.0);187;-0.00030574102917719684
