i;j;j-coordinate;N_k;Xzz
1;1;(0.0, -3.0, 0.0);385;-0.000332072
1;1;(0.0, 0.0, -3.0);385;-0.000332072
1;1;(0.0, 0.0, 3.0);385;-0.000332072
1;1;(0.0, 3.0, 0.0);385;-0.000332072
1;1;(-2.0, 0.0, -3.0);385;-0.000882885
1;1;(2.0, 0.0, 3.0);385;-0.000882885
1;1;(-2.0, -3.0, 0.0);385;-0.000882885
1;1;(2.0, 3.0, 0.0);385;-0.000882885
1;1;(-3.0, 0.0, -2.0);385;0.0002403485
1;1;(3.0, 0.0, 2.0);385;0.0002403485
1;1;(-3.0, -2.0, 0.0);385;0.0002403485
1;1;(3.0, 2.0, 0.0);385;0.0002403485
1;1;(-3.0, 0.0, 0.0);389;0.000736715
1;1;(3.0, 0.0, 0.0);389;0.000736715
1;1;(-2.0, 1.0, -2.0);387;-6.29225e-05
1;1;(2.0, -1.0, 2.0);387;-6.29225e-05
1;1;(-2.0, -2.0, 1.0);387;-6.29225e-05
1;1;(2.0, 2.0, -1.0);387;-6.29225e-05
1;1;(-2.0, -4.0, -2.0);364;-0.0002824795
1;1;(-2.0, -2.0, -4.0);364;-0.0002824795
1;1;(2.0, 2.0, 4.0);364;-0.0002824795
1;1;(2.0, 4.0, 2.0);364;-0.0002824795
1;1;(-4.0, -2.0, -2.0);368;-0.0003343675
1;1;(4.0, 2.0, 2.0);368;-0.0003343675
1;1;(-2.0, 0.0, 2.0);362;-0.00085739
1;1;(-2.0, 2.0, 0.0);362;-0.00085739
1;1;(2.0, -2.0, 0.0);362;-0.00085739
1;1;(2.0, 0.0, -2.0);362;-0.00085739
1;1;(0.0, -2.0, 2.0);360;-0.000633765
1;1;(0.0, 2.0, -2.0);360;-0.000633765
1;1;(-2.0, -3.0, -4.0);353;9.6803e-05
1;1;(2.0, 3.0, 4.0);353;9.6803e-05
1;1;(-2.0, -4.0, -3.0);353;9.6803e-05
1;1;(2.0, 4.0, 3.0);353;9.6803e-05
1;1;(-1.0, -2.0, -4.0);347;0.0003228275
1;1;(1.0, 2.0, 4.0);347;0.0003228275
1;1;(-1.0, -4.0, -2.0);347;0.0003228275
1;1;(1.0, 4.0, 2.0);347;0.0003228275
1;1;(-3.0, -4.0, -2.0);347;-0.0002453365
